data_split_version,model,MP,MMP,mean_median_position,MAP,R@400,R@200,R@100,R@50,R@20
0,resnext,999.0625,1606.8684210526317,1014.5921052631579,13.300890514447525,44.73684210526316,39.473684210526315,36.84210526315789,34.21052631578947,23.684210526315788
1,resnext,995.2352941176471,1590.4705882352941,995.2352941176471,10.825148855884095,45.09803921568628,43.13725490196079,29.411764705882355,27.450980392156865,19.607843137254903
2,resnext,1028.82,1673.1020408163265,1043.8775510204082,10.075975079248025,40.816326530612244,30.612244897959183,26.53061224489796,22.448979591836736,16.3265306122449
3,resnext,907.2368421052631,1364.0185185185185,884.9166666666666,13.879542920283134,42.592592592592595,35.18518518518518,33.33333333333333,27.77777777777778,18.51851851851852
4,resnext,991.9807692307693,1634.32,1019.34,17.542425923465295,42.0,34.0,30.0,26.0,24.0
5,resnext,997.8571428571429,1610.2083333333333,1012.5833333333334,17.258694953791156,39.58333333333333,35.41666666666667,31.25,31.25,22.916666666666664
6,resnext,989.1320754716982,1477.764705882353,941.0980392156863,10.824242215285386,41.17647058823529,33.33333333333333,27.450980392156865,27.450980392156865,23.52941176470588
7,resnext,1115.8375,1710.1315789473683,1058.0394736842106,14.93926988763523,42.10526315789473,39.473684210526315,28.947368421052634,26.31578947368421,15.789473684210526
8,resnext,1147.0204081632653,1801.875,1101.9375,14.350031219445968,43.75,33.33333333333333,25.0,25.0,20.833333333333336
9,resnext,875.5,1351.0,875.5,17.6870932764334,51.42857142857142,40.0,34.285714285714285,34.285714285714285,28.57142857142857
10,resnext,999.6,1608.0,1015.1578947368421,20.806911744067126,42.10526315789473,31.57894736842105,26.31578947368421,26.31578947368421,23.684210526315788
